Family	!	Scientific Name	Author	Reference	Date
"Apiaceae"	"!!"	"Apiaceae"	"Lindl."	"Intr. Nat. Syst. Bot. (ed. 2) 21"	"1836"
"Orchidaceae"	""	"Arethuseae"	"Lindl."	"Coll. Bot. 8(Append.): [1]"	"1826"
"Orchidaceae"	""	"Arethusinae"	"Benth."	"J. Linn. Soc., Bot. 18: 288, 347"	"1881"
"Asteraceae"	"!!"	"Asteraceae"	"Bercht. & J. Presl"	"Prir. Rostlin 254"	"1820"
"Boraginaceae"	"!!"	"Boraginaceae"	"Juss."	"Gen. Pl. 128"	"1789"
"Brassicaceae"	"!!"	"Brassicaceae"	"Burnett"	"Outlines Bot. 854, 1093, 1123"	"1835"
"Chenopodiaceae"	""	"Chenopodiaceae"	"Vent."	"Tabl. Regn. Veg. 2: 253"	"1799"
"Asteraceae"	""	"Engelmanniinae"	"Stuessy"	"Biol. Chem. Compositae 2: 645"	"1978"
"Ericaceae"	"!!"	"Ericaceae"	"Juss."	"Gen. Pl. 159–160"	"1789"
"Fabaceae"	"!!"	"Fabaceae"	"Lindl."	"Intr. Nat. Syst. Bot. (ed. 2) 148"	"1836"
"Orchidaceae"	""	"Goodyerinae"	"Klotzsch"	"Getreue Darstell. Gew. 14: , t. 24"	"1846"
"Haloragaceae"	""	"Haloragoideae"	"Beilschm."	"Flora 16(1, Beih.): 96"	"1833"
"Juncaceae"	"!!"	"Juncaceae"	"Juss."	"Gen. Pl. 43"	"1789"
"Lamiaceae"	"!!"	"Lamiaceae"	"Martinov"	"Tekhno-Bot. Slovar. 355"	"1820"
"Magnoliaceae"	"!!"	"Magnoliaceae"	"Juss."	"Gen. Pl. 280"	"1789"
"Orchidaceae"	""	"Malaxideae"	"Lindl."	"Coll. Bot. 8(Appemd.): ]1], [3]"	"1826"
"Malvaceae"	"!!"	"Malvaceae"	"Juss."	"Gen. Pl. 271"	"1789"
"Nyctaginaceae"	"!!"	"Nyctaginaceae"	"Juss."	"Gen. Pl. 90"	"1789"
"Orchidaceae"	"!!"	"Orchidaceae"	"Juss."	"Gen. Pl. 64–65"	"1789"
"Plantaginaceae"	"!!"	"Plantaginaceae"	"Juss."	"Gen. Pl. 89–90"	"1789"
"Plumbaginaceae"	"!!"	"Plumbaginaceae"	"Juss."	"Gen. Pl. 92"	"1789"
"Poaceae"	"!!"	"Poaceae"	"Barnhart"	"Bull. Torrey Bot. Club 22: 7"	"1895"
"Podostemaceae"	"!!"	"Podostemaceae"	"Rich. ex Kunth"	"Nov. Gen. Sp. (quarto ed.) 1: 246"	"1815 [1816]"
"Polemoniaceae"	"!!"	"Polemoniaceae"	"Juss."	"Gen. Pl. 136"	"1789"
"Polygalaceae"	"!!"	"Polygalaceae"	"Hoffmanns. & Link"	"Fl. Portug. 1: 62"	"1809"
"Polygonaceae"	"!!"	"Polygonaceae"	"Juss."	"Gen. Pl. 82"	"1789"
"Pontederiaceae"	"!!"	"Pontederiaceae"	"Kunth"	"Nov. Gen. Sp. (quarto ed.) 1: 265"	"1815 [1816]"
"Portulacaceae"	"!!"	"Portulacaceae"	"Juss."	"Gen. Pl. 312"	"1789"
"Primulaceae"	"!!"	"Primulaceae"	"Batsch"	"Syn. Univ. Analytica Gen. Pl. 2: 395"	"1794"
"Ranunculaceae"	"!!"	"Ranunculaceae"	"Juss."	"Gen. Pl. 231"	"1789"
"Rhamnaceae"	"!!"	"Rhamnaceae"	"Juss."	"Gen. Pl. 376–377"	"1789"
"Rosaceae"	"!!"	"Rosaceae"	"Juss."	"Gen. Pl. 334"	"1789"
"Rubiaceae"	"!!"	"Rubiaceae"	"Juss."	"Gen. Pl. 196"	"1789"
"Rutaceae"	"!!"	"Rutaceae"	"Juss."	"Gen. Pl. 296"	"1789"
"Salicaceae"	"!!"	"Salicaceae"	"Mirb."	"Elém. Physiol. Vég. Bot. 2: 905"	"1815"
"Santalaceae"	"!!"	"Santalaceae"	"R. Br."	"Prodr. 305"	"1810"
