Family	!	Scientific Name	Author	Reference	Date
"Acanthaceae"	"!!"	"Acanthaceae"	"Juss."	"Gen. Pl. 102–103"	"1789"
"Achariaceae"	"!!"	"Achariaceae"	"Harms"	"Nat. Pflanzenfam. 1: 256"	"1897"
"Achatocarpaceae"	"!!"	"Achatocarpaceae"	"Heimerl"	"Nat. Pflanzenfam. (ed. 2) 16c: 174"	"1934"
"Actinidiaceae"	"!!"	"Actinidiaceae"	"Engl. & Gilg"	"Syllabus (ed. 9 & 10) 279"	"1924"
"Aizoaceae"	"!!"	"Aizoaceae"	"Martinov"	"Tekhno-Bot. Slovar. 15"	"1820"
"Alismataceae"	"!!"	"Alismataceae"	"Vent."	"Tabl. Regn. Veg. 2: 157"	"1799"
"Alstroemeriaceae"	"!!"	"Alstroemeriaceae"	"Dumort."	"Anal. Fam. Pl. 57, 58"	"1829"
"Altingiaceae"	"!!"	"Altingiaceae"	"Horan."	"Veg. Kingd. 253"	"1846"
"Amaranthaceae"	"!!"	"Amaranthaceae"	"Juss."	"Gen. Pl. 87–88"	"1789"
"Amaryllidaceae"	"!!"	"Amaryllidaceae"	"J. St.-Hil."	"Expos. Fam. Nat. 1: 134"	"1805"
"Anacampserotaceae"	""	"Anacampserotaceae"	"Eggli & Nyffeler"	"Taxon 59(1): 232–233"	"2010"
"Anacardiaceae"	"!!"	"Anacardiaceae"	"R. Br."	"Narr. Exped. Zaire 431"	"1818"
"Anemiaceae"	""	"Anemiaceae"	"Link"	"Fil. Spec. 23"	"1841"
"Annonaceae"	"!!"	"Annonaceae"	"Juss."	"Gen. Pl. 283"	"1789"
"Apiaceae"	"!!"	"Apiaceae"	"Lindl."	"Intr. Nat. Syst. Bot. (ed. 2) 21"	"1836"
"Apocynaceae"	"!!"	"Apocynaceae"	"Juss."	"Gen. Pl. 143–144"	"1789"
"Apodanthaceae"	""	"Apodanthaceae"	"Tiegh. ex Takht."	"Sist. Magnol. 42"	"1987"
"Aquifoliaceae"	"!!"	"Aquifoliaceae"	"Bercht. & J. Presl"	"Přir. Rostlin 2(110): 440, 438"	"1825"
"Araceae"	"!!"	"Araceae"	"Juss."	"Gen. Pl. 23"	"1789"
"Araliaceae"	"!!"	"Araliaceae"	"Juss."	"Gen. Pl. 217"	"1789"
"Arecaceae"	"!!"	"Arecaceae"	"Bercht. & J. Presl"	"Prir. Rostlin 266"	"1820"
"Aristolochiaceae"	"!!"	"Aristolochiaceae"	"Juss."	"Gen. Pl. 72–73"	"1789"
"Asparagaceae"	"!!"	"Asparagaceae"	"Juss."	"Gen. Pl. 40"	"1789"
"Aspleniaceae"	"!"	"Aspleniaceae"	"Newman"	"Hist. Brit. Ferns 6"	"1840"
"Asteraceae"	"!!"	"Asteraceae"	"Bercht. & J. Presl"	"Prir. Rostlin 254"	"1820"
"Athyriaceae"	"!"	"Athyriaceae"	"Alston"	"Taxon 5: 25"	"1956"
"Balanophoraceae"	"!!"	"Balanophoraceae"	"Rich."	"Mém. Mus. Hist. Nat. 8: 429"	"1822"
"Balsaminaceae"	"!!"	"Balsaminaceae"	"A. Rich."	"Dict. Class. Hist. Nat. 2: 173"	"1822"
"Basellaceae"	"!!"	"Basellaceae"	"Raf."	"Fl. Tellur. 3: 44"	"1837"
"Bataceae"	"!!"	"Bataceae"	"Mart. ex Perleb"	"Clav. Class. 17"	"1838"
"Begoniaceae"	"!!"	"Begoniaceae"	"C. Agardh"	"Aphor. Bot. 200"	"1824"
"Berberidaceae"	"!!"	"Berberidaceae"	"Juss."	"Gen. Pl. 286"	"1789"
"Betulaceae"	"!!"	"Betulaceae"	"Gray"	"Nat. Arr. Brit. Pl. 2: 222, 243"	"1822"
"Bignoniaceae"	"!!"	"Bignoniaceae"	"Juss."	"Gen. Pl. 137"	"1789"
"Bixaceae"	"!!"	"Bixaceae"	"Kunth"	"Malvac., Buttner., Tiliac. 17"	"1822"
"Blechnaceae"	"!"	"Blechnaceae"	"Newman"	"Hist. Brit. Ferns (ed. 2) 8"	"1844"
"Boraginaceae"	"!!"	"Boraginaceae"	"Juss."	"Gen. Pl. 128"	"1789"
"Brassicaceae"	"!!"	"Brassicaceae"	"Burnett"	"Outlines Bot. 854, 1093, 1123"	"1835"
"Bromeliaceae"	"!!"	"Bromeliaceae"	"Juss."	"Gen. Pl. 49–50"	"1789"
"Brunelliaceae"	"!!"	"Brunelliaceae"	"Engl."	"Nat. Pflanzenfam. 1: 182"	"1897"
"Burmanniaceae"	"!!"	"Burmanniaceae"	"Blume"	"Enum. Pl. Javae 27"	"1827"
"Burseraceae"	"!!"	"Burseraceae"	"Kunth"	"Ann. Sci. Nat. (Paris) 2: 346"	"1824"
"Buxaceae"	"!!"	"Buxaceae"	"Dumort."	"Comment. Bot. 54"	"1822"
"Cabombaceae"	"!!"	"Cabombaceae"	"Rich. ex A. Rich."	"Dict. Class. Hist. Nat. 2: 608"	"1822"
"Cactaceae"	"!!"	"Cactaceae"	"Juss."	"Gen. Pl. 310"	"1789"
"Calceolariaceae"	""	"Calceolariaceae"	"Olmstead"	"Amer. J. Bot. 88: 357"	"2001"
"Calophyllaceae"	""	"Calophyllaceae"	"J. Agardh"	"Theoria Syst. Pl. 121"	"1858"
"Campanulaceae"	"!!"	"Campanulaceae"	"Juss."	"Gen. Pl. 163"	"1789"
"Canellaceae"	"!!"	"Canellaceae"	"Mart."	"Nov. Gen. Sp. Pl. 3: 168, 170"	"1832"
"Cannabaceae"	"!!"	"Cannabaceae"	"Martinov"	"Tekhno-Bot. Slovar. 99"	"1820"
"Cannaceae"	"!!"	"Cannaceae"	"Juss."	"Gen. Pl. 62"	"1789"
"Capparaceae"	"!!"	"Capparaceae"	"Juss."	"Gen. Pl. 242"	"1789"
"Caprifoliaceae"	"!!"	"Caprifoliaceae"	"Juss."	"Gen. Pl. 210–211"	"1789"
"Caricaceae"	"!!"	"Caricaceae"	"Dumort."	"Anal. Fam. Pl. 37, 42"	"1829"
"Caryocaraceae"	"!!"	"Caryocaraceae"	"Voigt"	"Hort. Suburb. Calcutt. 88"	"1845"
"Caryophyllaceae"	"!!"	"Caryophyllaceae"	"Juss."	"Gen. Pl. 299"	"1789"
"Celastraceae"	"!!"	"Celastraceae"	"R. Br."	"Voy. Terra Austral. 2: 554"	"1814"
"Ceratophyllaceae"	"!!"	"Ceratophyllaceae"	"Gray"	"Nat. Arr. Brit. Pl. 2: 395, 554"	"1822"
"Chloranthaceae"	"!!"	"Chloranthaceae"	"R. Br. ex Sims"	"Bot. Mag. 48: sub pl. 2190"	"1820"
"Chrysobalanaceae"	"!!"	"Chrysobalanaceae"	"R. Br."	"Narr. Exped. Zaire 433"	"1818"
"Cibotiaceae"	"!"	"Cibotiaceae"	"Korall"	"Taxon 55(3): 712"	"2006"
"Cistaceae"	"!!"	"Cistaceae"	"Juss."	"Gen. Pl. 294"	"1789"
"Cleomaceae"	"!!"	"Cleomaceae"	"Bercht. & J. Presl"	"Přir. Rostlin 2(64): 253"	"1825"
"Clethraceae"	"!!"	"Clethraceae"	"Klotzsch"	"Linnaea 24(1): 12"	"1851"
"Clusiaceae"	"!!"	"Clusiaceae"	"Lindl."	"Intr. Nat. Syst. Bot. (ed. 2) 74"	"1836"
"Combretaceae"	"!!"	"Combretaceae"	"R. Br."	"Prodr. 351"	"1810"
"Commelinaceae"	"!!"	"Commelinaceae"	"Mirb."	"Hist. Nat. Pl. 8: 177"	"1804"
"Connaraceae"	"!!"	"Connaraceae"	"R. Br."	"Narr. Exped. Zaire 431"	"1818"
"Convolvulaceae"	"!!"	"Convolvulaceae"	"Juss."	"Gen. Pl. 132"	"1789"
"Cordiaceae"	"!!"	"Cordiaceae"	"R. Br. ex Dumort."	"Anal. Fam. Pl. 20, 25"	"1829"
