Family	!	Scientific Name	Author	Reference	Date
"Acanthaceae"	"!!"	"Acanthaceae"	"Juss."	"Gen. Pl. 102–103"	"1789"
"Achariaceae"	"!!"	"Achariaceae"	"Harms"	"Nat. Pflanzenfam. 1: 256"	"1897"
"Actinidiaceae"	"!!"	"Actinidiaceae"	"Engl. & Gilg"	"Syllabus (ed. 9 & 10) 279"	"1924"
"Aizoaceae"	"!!"	"Aizoaceae"	"Martinov"	"Tekhno-Bot. Slovar. 15"	"1820"
"Alzateaceae"	""	"Alzateaceae"	"S.A. Graham"	"Ann. Missouri Bot. Gard. 71(3): 775"	"1984 [1985]"
"Amaranthaceae"	"!!"	"Amaranthaceae"	"Juss."	"Gen. Pl. 87–88"	"1789"
"Amaryllidaceae"	"!!"	"Amaryllidaceae"	"J. St.-Hil."	"Expos. Fam. Nat. 1: 134"	"1805"
"Anacardiaceae"	"!!"	"Anacardiaceae"	"R. Br."	"Narr. Exped. Zaire 431"	"1818"
"Annonaceae"	"!!"	"Annonaceae"	"Juss."	"Gen. Pl. 283"	"1789"
"Apiaceae"	"!!"	"Apiaceae"	"Lindl."	"Intr. Nat. Syst. Bot. (ed. 2) 21"	"1836"
"Apocynaceae"	"!!"	"Apocynaceae"	"Juss."	"Gen. Pl. 143–144"	"1789"
"Aquifoliaceae"	"!!"	"Aquifoliaceae"	"Bercht. & J. Presl"	"Přir. Rostlin 2(110): 440, 438"	"1825"
"Araceae"	"!!"	"Araceae"	"Juss."	"Gen. Pl. 23"	"1789"
"Araliaceae"	"!!"	"Araliaceae"	"Juss."	"Gen. Pl. 217"	"1789"
"Arecaceae"	"!!"	"Arecaceae"	"Bercht. & J. Presl"	"Prir. Rostlin 266"	"1820"
"Asparagaceae"	"!!"	"Asparagaceae"	"Juss."	"Gen. Pl. 40"	"1789"
"Aspleniaceae"	"!"	"Aspleniaceae"	"Newman"	"Hist. Brit. Ferns 6"	"1840"
"Asteraceae"	"!!"	"Asteraceae"	"Bercht. & J. Presl"	"Prir. Rostlin 254"	"1820"
"Balsaminaceae"	"!!"	"Balsaminaceae"	"A. Rich."	"Dict. Class. Hist. Nat. 2: 173"	"1822"
"Begoniaceae"	"!!"	"Begoniaceae"	"C. Agardh"	"Aphor. Bot. 200"	"1824"
"Berberidaceae"	"!!"	"Berberidaceae"	"Juss."	"Gen. Pl. 286"	"1789"
"Betulaceae"	"!!"	"Betulaceae"	"Gray"	"Nat. Arr. Brit. Pl. 2: 222, 243"	"1822"
"Bignoniaceae"	"!!"	"Bignoniaceae"	"Juss."	"Gen. Pl. 137"	"1789"
"Bixaceae"	"!!"	"Bixaceae"	"Kunth"	"Malvac., Buttner., Tiliac. 17"	"1822"
"Blechnaceae"	"!"	"Blechnaceae"	"Newman"	"Hist. Brit. Ferns (ed. 2) 8"	"1844"
"Boraginaceae"	"!!"	"Boraginaceae"	"Juss."	"Gen. Pl. 128"	"1789"
"Brassicaceae"	"!!"	"Brassicaceae"	"Burnett"	"Outlines Bot. 854, 1093, 1123"	"1835"
"Bromeliaceae"	"!!"	"Bromeliaceae"	"Juss."	"Gen. Pl. 49–50"	"1789"
"Brunelliaceae"	"!!"	"Brunelliaceae"	"Engl."	"Nat. Pflanzenfam. 1: 182"	"1897"
"Burmanniaceae"	"!!"	"Burmanniaceae"	"Blume"	"Enum. Pl. Javae 27"	"1827"
"Burseraceae"	"!!"	"Burseraceae"	"Kunth"	"Ann. Sci. Nat. (Paris) 2: 346"	"1824"
"Buxaceae"	"!!"	"Buxaceae"	"Dumort."	"Comment. Bot. 54"	"1822"
"Cactaceae"	"!!"	"Cactaceae"	"Juss."	"Gen. Pl. 310"	"1789"
"Calophyllaceae"	""	"Calophyllaceae"	"J. Agardh"	"Theoria Syst. Pl. 121"	"1858"
"Campanulaceae"	"!!"	"Campanulaceae"	"Juss."	"Gen. Pl. 163"	"1789"
"Cannabaceae"	"!!"	"Cannabaceae"	"Martinov"	"Tekhno-Bot. Slovar. 99"	"1820"
"Capparaceae"	"!!"	"Capparaceae"	"Juss."	"Gen. Pl. 242"	"1789"
"Cardiopteridaceae"	"!!"	"Cardiopteridaceae"	"Blume"	"Rumphia 3: 205"	"1847"
"Caricaceae"	"!!"	"Caricaceae"	"Dumort."	"Anal. Fam. Pl. 37, 42"	"1829"
"Caryocaraceae"	"!!"	"Caryocaraceae"	"Voigt"	"Hort. Suburb. Calcutt. 88"	"1845"
"Caryophyllaceae"	"!!"	"Caryophyllaceae"	"Juss."	"Gen. Pl. 299"	"1789"
"Celastraceae"	"!!"	"Celastraceae"	"R. Br."	"Voy. Terra Austral. 2: 554"	"1814"
"Chloranthaceae"	"!!"	"Chloranthaceae"	"R. Br. ex Sims"	"Bot. Mag. 48: sub pl. 2190"	"1820"
"Chrysobalanaceae"	"!!"	"Chrysobalanaceae"	"R. Br."	"Narr. Exped. Zaire 433"	"1818"
"Clethraceae"	"!!"	"Clethraceae"	"Klotzsch"	"Linnaea 24(1): 12"	"1851"
"Clusiaceae"	"!!"	"Clusiaceae"	"Lindl."	"Intr. Nat. Syst. Bot. (ed. 2) 74"	"1836"
"Combretaceae"	"!!"	"Combretaceae"	"R. Br."	"Prodr. 351"	"1810"
"Commelinaceae"	"!!"	"Commelinaceae"	"Mirb."	"Hist. Nat. Pl. 8: 177"	"1804"
"Connaraceae"	"!!"	"Connaraceae"	"R. Br."	"Narr. Exped. Zaire 431"	"1818"
"Convolvulaceae"	"!!"	"Convolvulaceae"	"Juss."	"Gen. Pl. 132"	"1789"
"Cordiaceae"	"!!"	"Cordiaceae"	"R. Br. ex Dumort."	"Anal. Fam. Pl. 20, 25"	"1829"
"Cornaceae"	"!!"	"Cornaceae"	"Bercht. ex J. Presl"	"Přir. Rostlin 2(23): 92, 91"	"1825"
"Crassulaceae"	"!!"	"Crassulaceae"	"J. St.-Hil."	"Expos. Fam. Nat. 2: 123"	"1805"
"Cucurbitaceae"	"!!"	"Cucurbitaceae"	"Juss."	"Gen. Pl. 393–394"	"1789"
"Cunoniaceae"	"!!"	"Cunoniaceae"	"R. Br."	"Voy. Terra Austral. 2: 548"	"1814"
"Cyatheaceae"	"!"	"Cyatheaceae"	"Kaulf."	"Wesen Farrenkr. 119"	"1827"
"Cyclanthaceae"	"!!"	"Cyclanthaceae"	"Poit. ex A. Rich."	"Dict. Class. Hist. Nat. 5: 222"	"1824"
"Cyperaceae"	"!!"	"Cyperaceae"	"Juss."	"Gen. Pl. 26"	"1789"
"Dichapetalaceae"	"!!"	"Dichapetalaceae"	"Baill."	"Fl. Bras. 12(1): 365"	"1886"
"Dilleniaceae"	"!!"	"Dilleniaceae"	"Salisb."	"Parad. Lond. sub t. 73"	"1806 [1807]"
"Dioscoreaceae"	"!!"	"Dioscoreaceae"	"R. Br."	"Prodr. 294"	"1810"
"Dipentodontaceae"	"!!"	"Dipentodontaceae"	"Merr."	"Brittonia 4: 69, 73"	"1941"
"Dryopteridaceae"	"!!"	"Dryopteridaceae"	"Herter"	"Revista Sudamer. Bot. 9(1): 15"	"1949"
"Ebenaceae"	"!!"	"Ebenaceae"	"Gürke"	"Nat. Pflanzenfam. 4(1): 153"	"1891"
"Ehretiaceae"	"!!"	"Ehretiaceae"	"Mart."	"Nov. Gen. Sp. Pl. 2: 136, 138"	"1827"
"Elaeocarpaceae"	"!!"	"Elaeocarpaceae"	"Juss."	"Essai Propr. Méd. Pl. 87"	"1816"
"Ericaceae"	"!!"	"Ericaceae"	"Juss."	"Gen. Pl. 159–160"	"1789"
"Erythroxylaceae"	"!!"	"Erythroxylaceae"	"Kunth"	"Nov. Gen. Sp. (quarto ed.) 5: 175"	"1822"
"Escalloniaceae"	"!!"	"Escalloniaceae"	"R. Br. ex Dumort."	"Anal. Fam. Pl. 35, 37"	"1829"
