Family	!	Scientific Name	Author	Reference	Date
"Acanthaceae"	"!!"	"Acanthaceae"	"Juss."	"Gen. Pl. 102–103"	"1789"
"Aizoaceae"	"!!"	"Aizoaceae"	"Martinov"	"Tekhno-Bot. Slovar. 15"	"1820"
"Alismataceae"	"!!"	"Alismataceae"	"Vent."	"Tabl. Regn. Veg. 2: 157"	"1799"
"Amaranthaceae"	"!!"	"Amaranthaceae"	"Juss."	"Gen. Pl. 87–88"	"1789"
"Amaryllidaceae"	"!!"	"Amaryllidaceae"	"J. St.-Hil."	"Expos. Fam. Nat. 1: 134"	"1805"
"Anacardiaceae"	"!!"	"Anacardiaceae"	"R. Br."	"Narr. Exped. Zaire 431"	"1818"
"Annonaceae"	"!!"	"Annonaceae"	"Juss."	"Gen. Pl. 283"	"1789"
"Apiaceae"	"!!"	"Apiaceae"	"Lindl."	"Intr. Nat. Syst. Bot. (ed. 2) 21"	"1836"
"Apocynaceae"	"!!"	"Apocynaceae"	"Juss."	"Gen. Pl. 143–144"	"1789"
"Aquifoliaceae"	"!!"	"Aquifoliaceae"	"Bercht. & J. Presl"	"Přir. Rostlin 2(110): 440, 438"	"1825"
"Araceae"	"!!"	"Araceae"	"Juss."	"Gen. Pl. 23"	"1789"
"Araliaceae"	"!!"	"Araliaceae"	"Juss."	"Gen. Pl. 217"	"1789"
"Araucariaceae"	"!!"	"Araucariaceae"	"Henkel & W. Hochst."	"Syn. Nadelhölz. 17: 1"	"1865"
"Arecaceae"	"!!"	"Arecaceae"	"Bercht. & J. Presl"	"Prir. Rostlin 266"	"1820"
"Aristolochiaceae"	"!!"	"Aristolochiaceae"	"Juss."	"Gen. Pl. 72–73"	"1789"
"Asteraceae"	"!!"	"Asteraceae"	"Bercht. & J. Presl"	"Prir. Rostlin 254"	"1820"
"Basellaceae"	"!!"	"Basellaceae"	"Raf."	"Fl. Tellur. 3: 44"	"1837"
"Begoniaceae"	"!!"	"Begoniaceae"	"C. Agardh"	"Aphor. Bot. 200"	"1824"
"Berberidaceae"	"!!"	"Berberidaceae"	"Juss."	"Gen. Pl. 286"	"1789"
"Betulaceae"	"!!"	"Betulaceae"	"Gray"	"Nat. Arr. Brit. Pl. 2: 222, 243"	"1822"
"Bignoniaceae"	"!!"	"Bignoniaceae"	"Juss."	"Gen. Pl. 137"	"1789"
"Boraginaceae"	"!!"	"Boraginaceae"	"Juss."	"Gen. Pl. 128"	"1789"
"Brassicaceae"	"!!"	"Brassicaceae"	"Burnett"	"Outlines Bot. 854, 1093, 1123"	"1835"
"Bromeliaceae"	"!!"	"Bromeliaceae"	"Juss."	"Gen. Pl. 49–50"	"1789"
"Burmanniaceae"	"!!"	"Burmanniaceae"	"Blume"	"Enum. Pl. Javae 27"	"1827"
"Burseraceae"	"!!"	"Burseraceae"	"Kunth"	"Ann. Sci. Nat. (Paris) 2: 346"	"1824"
"Cactaceae"	"!!"	"Cactaceae"	"Juss."	"Gen. Pl. 310"	"1789"
"Campanulaceae"	"!!"	"Campanulaceae"	"Juss."	"Gen. Pl. 163"	"1789"
"Canellaceae"	"!!"	"Canellaceae"	"Mart."	"Nov. Gen. Sp. Pl. 3: 168, 170"	"1832"
"Cannabaceae"	"!!"	"Cannabaceae"	"Martinov"	"Tekhno-Bot. Slovar. 99"	"1820"
"Capparaceae"	"!!"	"Capparaceae"	"Juss."	"Gen. Pl. 242"	"1789"
"Caprifoliaceae"	"!!"	"Caprifoliaceae"	"Juss."	"Gen. Pl. 210–211"	"1789"
"Caricaceae"	"!!"	"Caricaceae"	"Dumort."	"Anal. Fam. Pl. 37, 42"	"1829"
"Caryophyllaceae"	"!!"	"Caryophyllaceae"	"Juss."	"Gen. Pl. 299"	"1789"
"Celastraceae"	"!!"	"Celastraceae"	"R. Br."	"Voy. Terra Austral. 2: 554"	"1814"
